"기준일","요일","성별","연령대","시도","시군구","업종","통화건수"
"20160201","월","남","10대","서울특별시","양천구","치킨","20"
"20160201","월","남","60대이상","서울특별시","양천구","치킨","13"
"20160201","월","남","50대","서울특별시","양천구","치킨","22"
"20160201","월","여","30대","서울특별시","영등포구","치킨","81"
"20160201","월","남","30대","서울특별시","영등포구","치킨","72"
"20160201","월","여","50대","서울특별시","영등포구","치킨","18"
"20160201","월","남","20대","서울특별시","영등포구","치킨","63"
"20160201","월","여","40대","서울특별시","영등포구","치킨","38"
"20160201","월","여","20대","서울특별시","영등포구","치킨","59"
"20160201","월","남","40대","서울특별시","영등포구","치킨","47"
"20160201","월","남","60대이상","서울특별시","영등포구","치킨","9"
"20160201","월","남","10대","서울특별시","영등포구","치킨","15"
"20160201","월","여","60대이상","서울특별시","영등포구","치킨","17"
"20160201","월","여","10대","서울특별시","영등포구","치킨","16"
"20160201","월","남","50대","서울특별시","영등포구","치킨","19"
"20160201","월","남","40대","서울특별시","용산구","치킨","42"
"20160201","월","여","40대","서울특별시","용산구","치킨","42"
"20160201","월","여","20대","서울특별시","용산구","치킨","37"
"20160201","월","남","50대","서울특별시","용산구","치킨","13"
"20160201","월","남","30대","서울특별시","용산구","치킨","62"
"20160201","월","여","50대","서울특별시","용산구","치킨","18"
"20160201","월","여","30대","서울특별시","용산구","치킨","52"
"20160201","월","여","10대","서울특별시","용산구","치킨","15"
"20160201","월","여","60대이상","서울특별시","용산구","치킨","6"
"20160201","월","남","10대","서울특별시","용산구","치킨","9"
"20160201","월","남","60대이상","서울특별시","용산구","치킨","5"
"20160201","월","남","20대","서울특별시","용산구","치킨","44"
"20160201","월","여","20대","서울특별시","은평구","치킨","51"
"20160201","월","남","20대","서울특별시","은평구","치킨","52"
"20160201","월","남","40대","서울특별시","은평구","치킨","58"
"20160201","월","남","30대","서울특별시","은평구","치킨","50"
"20160201","월","남","50대","서울특별시","은평구","치킨","22"
"20160201","월","여","30대","서울특별시","은평구","치킨","85"
"20160201","월","여","50대","서울특별시","은평구","치킨","32"
"20160201","월","여","60대이상","서울특별시","은평구","치킨","17"
"20160201","월","여","10대","서울특별시","은평구","치킨","17"
"20160201","월","남","60대이상","서울특별시","은평구","치킨","6"
"20160201","월","남","10대","서울특별시","은평구","치킨","17"
"20160201","월","여","40대","서울특별시","은평구","치킨","83"
"20160201","월","여","40대","서울특별시","종로구","치킨","33"
"20160201","월","남","40대","서울특별시","종로구","치킨","11"
"20160201","월","남","20대","서울특별시","종로구","치킨","27"
"20160201","월","여","50대","서울특별시","종로구","치킨","7"
"20160201","월","여","30대","서울특별시","종로구","치킨","23"
"20160201","월","남","50대","서울특별시","종로구","치킨","5"
"20160201","월","남","30대","서울특별시","종로구","치킨","22"
