"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20160901","목","남","40대","서울특별시","강북구","미아동","치킨","48"
"20160901","목","남","40대","서울특별시","강북구","번동","치킨","5"
"20160901","목","여","30대","서울특별시","강북구","번동","치킨","8"
"20160901","목","여","30대","서울특별시","강북구","미아동","치킨","100"
"20160901","목","남","20대","서울특별시","강서구","화곡동","치킨","59"
"20160901","목","남","20대","서울특별시","강서구","방화동","치킨","8"
"20160901","목","남","60대이상","서울특별시","강서구","염창동","치킨","5"
"20160901","목","남","50대","서울특별시","강서구","염창동","치킨","5"
"20160901","목","여","40대","서울특별시","강서구","등촌동","치킨","32"
"20160901","목","남","10대","서울특별시","강서구","내발산동","치킨","7"
"20160901","목","남","10대","서울특별시","강서구","외발산동","치킨","5"
"20160901","목","남","60대이상","서울특별시","강서구","화곡동","치킨","6"
"20160901","목","남","60대이상","서울특별시","강서구","방화동","치킨","5"
"20160901","목","남","20대","서울특별시","강서구","염창동","치킨","7"
"20160901","목","남","50대","서울특별시","강서구","방화동","치킨","7"
"20160901","목","남","30대","서울특별시","강서구","등촌동","치킨","19"
"20160901","목","남","50대","서울특별시","강서구","화곡동","치킨","15"
"20160901","목","여","10대","서울특별시","강서구","방화동","치킨","5"
"20160901","목","여","50대","서울특별시","강서구","가양동","치킨","6"
"20160901","목","여","10대","서울특별시","강서구","화곡동","치킨","8"
"20160901","목","여","50대","서울특별시","강서구","외발산동","치킨","5"
"20160901","목","여","20대","서울특별시","강서구","내발산동","치킨","38"
"20160901","목","여","60대이상","서울특별시","강서구","가양동","치킨","5"
"20160901","목","여","20대","서울특별시","강서구","오곡동","치킨","5"
"20160901","목","여","20대","서울특별시","강서구","외발산동","치킨","5"
"20160901","목","여","50대","서울특별시","강서구","내발산동","치킨","24"
"20160901","목","여","60대이상","서울특별시","강서구","내발산동","치킨","12"
"20160901","목","여","20대","서울특별시","강서구","가양동","치킨","9"
"20160901","목","남","60대이상","서울특별시","강서구","외발산동","치킨","5"
"20160901","목","남","10대","서울특별시","강서구","화곡동","치킨","14"
"20160901","목","남","10대","서울특별시","강서구","방화동","치킨","10"
"20160901","목","남","50대","서울특별시","강서구","가양동","치킨","5"
"20160901","목","남","50대","서울특별시","강서구","오곡동","치킨","5"
"20160901","목","남","20대","서울특별시","강서구","내발산동","치킨","43"
"20160901","목","남","50대","서울특별시","강서구","내발산동","치킨","19"
"20160901","목","남","20대","서울특별시","강서구","외발산동","치킨","5"
"20160901","목","남","10대","서울특별시","강서구","염창동","치킨","5"
"20160901","목","남","20대","서울특별시","강서구","가양동","치킨","10"
"20160901","목","남","60대이상","서울특별시","강서구","내발산동","치킨","7"
"20160901","목","여","60대이상","서울특별시","강서구","염창동","치킨","5"
"20160901","목","여","20대","서울특별시","강서구","방화동","치킨","7"
"20160901","목","여","20대","서울특별시","강서구","화곡동","치킨","62"
"20160901","목","여","10대","서울특별시","강서구","내발산동","치킨","6"
"20160901","목","남","40대","서울특별시","강서구","등촌동","치킨","18"
"20160901","목","여","50대","서울특별시","강서구","염창동","치킨","5"
"20160901","목","여","20대","서울특별시","강서구","염창동","치킨","11"
"20160901","목","여","60대이상","서울특별시","강서구","방화동","치킨","5"
"20160901","목","여","60대이상","서울특별시","강서구","화곡동","치킨","15"
"20160901","목","여","50대","서울특별시","강서구","화곡동","치킨","20"
"20160901","목","여","30대","서울특별시","강서구","등촌동","치킨","28"
"20160901","목","여","50대","서울특별시","강서구","방화동","치킨","11"
"20160901","목","여","10대","서울특별시","강서구","가양동","치킨","5"
"20160901","목","여","20대","서울특별시","강서구","등촌동","치킨","18"
"20160901","목","남","40대","서울특별시","강서구","방화동","치킨","8"
"20160901","목","여","30대","서울특별시","강서구","염창동","치킨","11"
"20160901","목","남","40대","서울특별시","강서구","화곡동","치킨","46"
"20160901","목","여","60대이상","서울특별시","강서구","등촌동","치킨","7"
"20160901","목","남","40대","서울특별시","강서구","염창동","치킨","5"
"20160901","목","여","50대","서울특별시","강서구","등촌동","치킨","10"
"20160901","목","여","30대","서울특별시","강서구","방화동","치킨","27"
"20160901","목","여","30대","서울특별시","강서구","화곡동","치킨","83"
"20160901","목","남","30대","서울특별시","강서구","가양동","치킨","19"
"20160901","목","여","40대","서울특별시","강서구","내발산동","치킨","79"
"20160901","목","남","10대","서울특별시","강서구","등촌동","치킨","12"
"20160901","목","남","30대","서울특별시","강서구","외발산동","치킨","5"
"20160901","목","남","30대","서울특별시","강서구","오곡동","치킨","5"
"20160901","목","여","40대","서울특별시","강서구","가양동","치킨","17"
