측정일시	측정소명	이산화질소농도(ppm)	오존농도(ppm)	일산화탄소농도(ppm)	아황산가스(ppm)	미세먼지(ug/m^2)	초미세먼지(ug/m^2)
20170113	도산대로	0.022	0.015	0.7	0.005	31	
20170113	성북구	0.02	0.019	0.4	0.004	26	12
20170113	중랑구	0.021	0.02	0.3	0.005	31	13
20170113	동작대로	0.045	0.012	0.5	0.006	45	20
20170113	노원구	0.018	0.026	0.4	0.003	24	11
20170113	종로	0.02	0.02	0.3	0.003	26	14
20170113	구로구	0.016	0.02	0.4	0.005	31	14
20170113	성동구	0.021	0.021	0.4	0.004	29	13
20170113	천호대로	0.039	0.013	0.4	0.004	29	15
20170113	광진구	0.02	0.026	0.4	0.004	28	11
20170113	신촌로	0.036	0.011	0.7	0.007	31	
20170113	홍릉로	0.033	0.016	0.5	0.006	26	
20170113	영등포로	0.056	0.015	0.4	0.006	36	16
20170113	강변북로	0.046	0.015	0.4	0.004	37	
20170113	화랑로	0.03	0.015	0.5	0.005	38	
20170113	영등포구	0.018	0.017	0.6	0.005	32	14
20170113	한강대로	0.03	0.018	0.4	0.005	40	14
20170113	관악구	0.027	0.02	0.4	0.006	29	17
20170113	동대문구	0.019	0.019	0.5	0.004	31	12
20170113	강서구	0.019	0.023	0.4	0.005	33	12
20170113	공항대로	0.036	0.015	0.6	0.006	39	
20170113	서초구	0.022	0.021	0.4	0.004	32	10
20170113	금천구	0.024	0.021	0.4	0.004	27	13
20170113	마포구	0.022	0.022	0.5	0.004	31	16
20170112	송파구	0.028	0.018	0.6	0.005	33	14
20170112	강변북로	0.047	0.011	0.5	0.003	37	
20170112	마포구	0.032	0.016	0.6	0.005	32	22
20170112	구로구	0.022	0.015	0.4	0.006	32	18
20170112	한강대로	0.04	0.013	0.5	0.005	40	17
20170112	강동구	0.033	0.015	0.5	0.004	33	17
20170112	금천구	0.031	0.017	0.5	0.004	30	18
20170112	중랑구	0.033	0.014	0.4	0.005	31	17
20170112	강서구	0.03	0.016	0.4	0.006	32	16
20170112	은평구	0.018	0.012	0.8	0.003	30	17
20170112	종로	0.028	0.016	0.4	0.004	26	18
20170112	광진구	0.032	0.02	0.5	0.005	31	17
20170112	동작대로	0.049	0.012	0.6	0.006	46	28
20170112	서초구	0.024	0.02	0.4	0.004	30	13
20170112	서대문구	0.024	0.02	0.6	0.006	30	16
20170112	관악구	0.035	0.017	0.5	0.006	31	20
20170112	정릉로	0.028	0.015	0.5	0.006	36	17
20170112	강남구	0.028	0.015	0.4	0.004	30	15
20170112	영등포구	0.023	0.013	0.8	0.005	32	17
20170112	동작구	0.026	0.021	0.4	0.004	28	19
20170112	동대문구	0.029	0.015	0.6	0.005	31	15
20170112	영등포로	0.065	0.011	0.5	0.007	39	23
20170112	천호대로	0.047	0.01	0.4	0.005	33	20
20170112	공항대로	0.04	0.013	0.5	0.005	43	
20170112	신촌로	0.043	0.008	0.8	0.006	34	
20170112	중구	0.028	0.018	0.4	0.004	28	17
20170112	청계천로	0.033	0.015	0.4	0.006	26	
20170112	홍릉로	0.045	0.012	0.9	0.007	30	
20170112	강남대로	0.068	0.009	0.7	0.005	45	20
20170112	종로구	0.029	0.018	0.4	0.004	27	15
20170112	도산대로	0.027	0.013	0.7	0.005	29	
20170112	화랑로	0.039	0.012	0.7	0.005	39	
20170112	성북구	0.033	0.014	0.6	0.004	31	16
20170112	용산구	0.026	0.016	0.4	0.004	27	17
