ADDR,adr1,adr2,adr3,zipcode,long,lat
서울특별시 중구 서울중앙우체국사서함 8000~8099,서울특별시,중구,,100680,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 8100~8199,서울특별시,중구,,100681,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 8200~8299,서울특별시,중구,,100682,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 8300~8399,서울특별시,중구,,100683,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 8400~8499,서울특별시,중구,,100684,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 8500~8599,서울특별시,중구,,100685,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 8600~8699,서울특별시,중구,,100686,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 8700~8799,서울특별시,중구,,100687,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 8800~8899,서울특별시,중구,,100688,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 8900~8999,서울특별시,중구,,100689,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 9000~9099,서울특별시,중구,,100690,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 9100~9199,서울특별시,중구,,100691,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 9200~9299,서울특별시,중구,,100692,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 9300~9399,서울특별시,중구,,100693,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 9400~9499,서울특별시,중구,,100694,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 9500~9599,서울특별시,중구,,100695,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 9600~9699,서울특별시,중구,,100696,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 9700~9799,서울특별시,중구,,100697,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 9800~9899,서울특별시,중구,,100698,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 9900~9999,서울특별시,중구,,100699,126.9976,37.563842
서울특별시 중구 예관동 중구청,서울특별시,중구,예관동,100701,,
서울특별시 중구 정동 경향신문사건물,서울특별시,중구,정동,100702,126.972925,37.5664
서울특별시 중구 남대문로2가 국민은행본점빌딩,서울특별시,중구,남대문로2가,100703,126.9738525,37.5587307
서울특별시 중구 남대문로5가 단암빌딩,서울특별시,중구,남대문로5가,100704,,
서울특별시 중구 충무로3가 극동빌딩,서울특별시,중구,충무로3가,100705,,
서울특별시 중구 충무로1가 고려대연각센터빌딩,서울특별시,중구,충무로1가,100706,,
서울특별시 중구 충정로1가 농업협동조합중앙회건물,서울특별시,중구,충정로1가,100707,,
서울특별시 중구 남대문로5가 서울남대문경찰서,서울특별시,중구,남대문로5가,100708,,
서울특별시 중구 충무로1가 서울중앙우체국,서울특별시,중구,충무로1가,100709,,
서울특별시 중구 광희동1가 광희빌딩,서울특별시,중구,광희동1가,100710,,
서울특별시 중구 남대문로5가 SK남산그린빌딩,서울특별시,중구,남대문로5가,100711,126.9829028,37.5653425
서울특별시 중구 순화동 에이스타워빌딩,서울특별시,중구,순화동,100712,126.970438,37.562758
서울특별시 중구 충무로4가 진양상가,서울특별시,중구,충무로4가,100713,,
서울특별시 중구 남대문로5가 서울스퀘어,서울특별시,중구,남대문로5가,100714,,
서울특별시 중구 필동3가 동국대학교,서울특별시,중구,필동3가,100715,,
서울특별시 중구 태평로2가 삼성생명빌딩,서울특별시,중구,태평로2가,100716,,
서울특별시 중구 중림동 브라운스톤서울,서울특별시,중구,중림동,100717,,
서울특별시 중구 소공동 OCI주식회사,서울특별시,중구,소공동,100718,,
서울특별시 중구 을지로1가 하나은행빌딩,서울특별시,중구,을지로1가,100719,,
서울특별시 중구 을지로2가 하나은행별관빌딩,서울특별시,중구,을지로2가,100720,126.997628,37.5678195
서울특별시 중구 소공동 롯데쇼핑센터빌딩,서울특별시,중구,소공동,100721,126.9771842,37.562294
서울특별시 중구 남대문로5가 GS역전타워,서울특별시,중구,남대문로5가,100722,,
서울특별시 중구 충정로1가 문화일보사건물,서울특별시,중구,충정로1가,100723,,
서울특별시 중구 태평로2가 대경빌딩,서울특별시,중구,태평로2가,100724,,
서울특별시 중구 회현동2가 프라임타워,서울특별시,중구,회현동2가,100725,,
서울특별시 중구 을지로6가 케레스타,서울특별시,중구,을지로6가,100726,,
서울특별시 중구 중림동 삼성사이버아파트,서울특별시,중구,중림동,100727,126.9644981,37.5548031
서울특별시 중구 필동1가 매일경제신문사빌딩,서울특별시,중구,필동1가,100728,126.9939605,37.5629795
서울특별시 중구 을지로6가 굿모닝시티쇼핑몰,서울특별시,중구,을지로6가,100729,126.990194,37.5652732
서울특별시 중구 을지로6가 두산타워빌딩,서울특별시,중구,을지로6가,100730,126.990194,37.5652732
서울특별시 중구 순화동 순화빌딩,서울특별시,중구,순화동,100731,,
서울특별시 중구 순화동 중앙문화센터빌딩,서울특별시,중구,순화동,100732,126.970438,37.562758
서울특별시 중구 태평로2가 한화손해보험,서울특별시,중구,태평로2가,100733,,
서울특별시 중구 신당5동 한진그랑빌아파트 (102~104동),서울특별시,중구,신당5동,100734,127.02185,37.565142
서울특별시 중구 서소문동 대한빌딩,서울특별시,중구,서소문동,100735,,
서울특별시 중구 서소문동 동화빌딩,서울특별시,중구,서소문동,100736,,
서울특별시 중구 서소문동 올리브타워,서울특별시,중구,서소문동,100737,,
서울특별시 중구 서소문동 배재빌딩,서울특별시,중구,서소문동,100738,,
서울특별시 중구 서소문동 시청별관,서울특별시,중구,서소문동,100739,126.973425,37.563275
서울특별시 중구 남대문로5가 대우재단,서울특별시,중구,남대문로5가,100740,,
서울특별시 중구 남대문로5가 서울시티타워빌딩,서울특별시,중구,남대문로5가,100741,126.9829028,37.5653425
서울특별시 중구 태평로2가 삼성본관빌딩,서울특별시,중구,태평로2가,100742,,
서울특별시 중구 남대문로4가 상공회의소회관,서울특별시,중구,남대문로4가,100743,126.9828075,37.5654653
서울특별시 중구 태평로1가 서울시청,서울특별시,중구,태평로1가,100744,,
서울특별시 중구 태평로1가 서울신문사빌딩,서울특별시,중구,태평로1가,100745,126.9775829,37.5690731
서울특별시 중구 동화동 신당푸르지오아파트 (101~109동),서울특별시,중구,동화동,100746,127.019425,37.560025
서울특별시 중구 충무로1가 신세계백화점건물,서울특별시,중구,충무로1가,100747,126.9806949,37.5613387
서울특별시 중구 저동2가 쌍용빌딩,서울특별시,중구,저동2가,100748,,
서울특별시 중구 남대문로5가 CJ빌딩,서울특별시,중구,남대문로5가,100749,,
서울특별시 중구 태평로1가 프레스센터빌딩,서울특별시,중구,태평로1가,100750,126.9775829,37.5690731
서울특별시 중구 예장동 숭의여자대학,서울특별시,중구,예장동,100751,,
서울특별시 중구 서소문동 신아빌딩,서울특별시,중구,서소문동,100752,,
서울특별시 중구 남대문로5가 연세세브란스빌딩,서울특별시,중구,남대문로5가,100753,,
서울특별시 중구 약수동 남산타운아파트 (1~21동),서울특별시,중구,약수동,100754,127.008975,37.552458
서울특별시 중구 소공동 소공동한화빌딩,서울특별시,중구,소공동,100755,126.9771842,37.562294
서울특별시 중구 태평로1가 조선일보사건물,서울특별시,중구,태평로1가,100756,126.9775829,37.5690731
서울특별시 중구 남대문로1가 신한은행광교빌딩,서울특별시,중구,남대문로1가,100757,126.983009,37.5658029
서울특별시 중구 을지로2가 중소기업은행본점,서울특별시,중구,을지로2가,100758,126.997628,37.5678195
서울특별시 중구 순화동 중앙일보사건물,서울특별시,중구,순화동,100759,126.970438,37.562758
서울특별시 중구 장교동 장교빌딩,서울특별시,중구,장교동,100760,,
서울특별시 중구 청구동 약수하이츠아파트 (101~119동),서울특별시,중구,청구동,100761,127.014687,37.557083
서울특별시 중구 을지로6가 밀리오레상가건물,서울특별시,중구,을지로6가,100762,126.990194,37.5652732
서울특별시 중구 청구동 삼성아파트 (101~117동),서울특별시,중구,청구동,100763,127.014687,37.557083
서울특별시 중구 서소문동 부영빌딩,서울특별시,중구,서소문동,100764,,
서울특별시 중구 서소문동 장안빌딩,서울특별시,중구,서소문동,100765,,
서울특별시 중구 저동2가 서울중부경찰서,서울특별시,중구,저동2가,100766,,
서울특별시 중구 태평로2가 태평로빌딩,서울특별시,중구,태평로2가,100767,,
서울특별시 중구 태평로1가 파이낸스빌딩,서울특별시,중구,태평로1가,100768,,
서울특별시 중구 저동1가 남대문세무서,서울특별시,중구,저동1가,100769,,
서울특별시 중구 남대문로2가 한진빌딩,서울특별시,중구,남대문로2가,100770,,
서울특별시 중구 회현동3가 화이자타워,서울특별시,중구,회현동3가,100771,,
서울특별시 중구 무교동 코오롱빌딩,서울특별시,중구,무교동,100772,,
서울특별시 중구 순화동 에스원빌딩,서울특별시,중구,순화동,100773,,
서울특별시 중구 다산동 선일빌딩,서울특별시,중구,다산동,100774,,
서울특별시 중구 무교동 한국정보화진흥원,서울특별시,중구,무교동,100775,,
서울특별시 중구 다산동 유유빌딩,서울특별시,중구,다산동,100776,,
서울특별시 중구 무교동 여성가족부,서울특별시,중구,무교동,100777,,
서울특별시 중구 남창동 롯데손해보험빌딩,서울특별시,중구,남창동,100778,,
서울특별시 중구 약수동 남산타운아파트 (22~42동),서울특별시,중구,약수동,100779,127.008975,37.552458
서울특별시 중구 다산동 조세통람사,서울특별시,중구,다산동,100780,,
서울특별시 중구 동화동 현대아파트 (101~110동),서울특별시,중구,동화동,100781,127.019425,37.560025
서울특별시 중구 을지로1가 삼성화재빌딩,서울특별시,중구,을지로1가,100782,,
서울특별시 중구 의주로1가 바비엥빌딩,서울특별시,중구,의주로1가,100783,126.9670885,37.5654891
서울특별시 중구 정동 정동빌딩,서울특별시,중구,정동,100784,,
서울특별시 중구 정동 배재정동빌딩,서울특별시,중구,정동,100785,,
서울특별시 중구 을지로4가 삼풍상가,서울특별시,중구,을지로4가,100786,,
서울특별시 중구 을지로2가 내외빌딩,서울특별시,중구,을지로2가,100787,,
서울특별시 중구 남대문로5가 한화생명빌딩,서울특별시,중구,남대문로5가,100788,,
서울특별시 중구 신당5동 도로교통공단,서울특별시,중구,신당5동,100789,,
서울특별시 중구 남대문로5가 (주)엘지유플러스,서울특별시,중구,남대문로5가,100790,,
서울특별시 중구 중림동 한국경제신문사빌딩,서울특별시,중구,중림동,100791,,
서울특별시 중구 회현동1가 우리은행본점,서울특별시,중구,회현동1가,100792,,
서울특별시 중구 을지로2가 외환은행본점,서울특별시,중구,을지로2가,100793,,
서울특별시 중구 남대문로3가 한국은행건물,서울특별시,중구,남대문로3가,100794,126.9829447,37.5656589
서울특별시 중구 남학동 중부세무서,서울특별시,중구,남학동,100795,,
서울특별시 중구 초동 동부화재보험빌딩,서울특별시,중구,초동,100796,126.992325,37.56465
서울특별시 중구 장교동 한화빌딩,서울특별시,중구,장교동,100797,,
서울특별시 중구 남창동 삼선빌딩,서울특별시,중구,남창동,100798,,
서울특별시 중구 을지로6가 국립중앙의료원,서울특별시,중구,을지로6가,100799,,
서울특별시 중구 남대문로5가 1~80,서울특별시,중구,남대문로5가,100800,126.9738175,37.5590322
서울특별시 중구 남대문로5가 81~120,서울특별시,중구,남대문로5가,100801,126.9802026,37.5578651
서울특별시 중구 남대문로5가 121~560,서울특별시,중구,남대문로5가,100802,126.9752446,37.5589287
서울특별시 중구 남대문로5가 561~815,서울특별시,중구,남대문로5가,100803,126.9736615,37.5547964
서울특별시 중구 남창동 1~60,서울특별시,중구,남창동,100804,126.9792263,37.5607523
서울특별시 중구 남창동 61~160,서울특별시,중구,남창동,100805,126.9767712,37.5581535
서울특별시 중구 남창동 161~236,서울특별시,중구,남창동,100806,126.9733693,37.5544767
서울특별시 중구 만리동1가 1~50,서울특별시,중구,만리동1가,100807,126.9686016,37.5567199
서울특별시 중구 만리동1가 51~57,서울특별시,중구,만리동1가,100808,126.9681771,37.5570678
서울특별시 중구 명동2가 1~33,서울특별시,중구,명동2가,100809,126.9868412,37.5633157
서울특별시 중구 명동2가 34~105,서울특별시,중구,명동2가,100810,126.9873155,37.5596603
서울특별시 중구 방산동 1~70,서울특별시,중구,방산동,100811,127.0015259,37.5685481
서울특별시 중구 방산동 71~130,서울특별시,중구,방산동,100812,126.9943454,37.5672907
서울특별시 중구 서소문동 1~54,서울특별시,중구,서소문동,100813,126.9759877,37.5648599
서울특별시 중구 서소문동 55~120,서울특별시,중구,서소문동,100814,126.9728079,37.5632334
서울특별시 중구 동화동 41~44,서울특별시,중구,동화동,100815,127.0200751,37.5599518
서울특별시 중구 동화동 276~281,서울특별시,중구,동화동,100816,127.0165463,37.5627445
서울특별시 중구 신당5동 59,서울특별시,중구,신당5동,100817,127.0211774,37.5613358
