title,release_date,week1_sales,week1_seen,nation,production,distributor,rating,genre,total_seen,total_sales
반창꼬,2012-12-19,7801228000,1082668,한국,(주)영화사오름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,멜로/로맨스,2475797,17911274787
극장판 포켓몬스터 베스트위시「메로엣타의 반짝반짝 음악회」,2012-12-19,745857250,222436,일본,,,전체관람가,애니메이션,287975,963673250
극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,2012-12-19,1026438250,265489,일본,,씨제이이앤엠 주식회사,전체관람가,애니메이션,348991,1358313750
주먹왕 랄프,2012-12-19,3099236500,425633,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,애니메이션,918299,6590479500
가문의 영광5 - 가문의 귀환,2012-12-19,5486195500,766399,한국,(주)태원엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,코미디,1160021,8330342500
타워,2012-12-25,14658256500,2014589,한국,"씨제이이앤엠 주식회사,(주)더타워픽쳐스",씨제이이앤엠 주식회사,12세이상관람가,드라마,5181014,37654858000
니코: 산타비행단의 모험,2012-12-25,1676033500,243062,핀란드,,씨너스엔터테인먼트(주),전체관람가,애니메이션,407448,2787570000
잠베지아: 신비한 나무섬의 비밀,2012-12-25,1754592000,240603,남아프리카공화국,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,472692,3333947000
라이프 오브 파이,2013-01-01,6098936500,654265,미국,,이십세기폭스코리아(주),전체관람가,액션/어드벤쳐,1593463,15870581500
클라우드 아틀라스,2013-01-09,2607373128,345990,미국,,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,액션/어드벤쳐,452995,3413901727
마이 리틀 히어로,2013-01-09,1040655128,147585,한국,굿초이스컷픽쳐스(주),씨제이이앤엠 주식회사,전체관람가,드라마,185978,1302907128
박수건달,2013-01-09,9728491500,1328287,한국,"주식회사 제이앤피,박수건달문화산업전문(유),쇼박스㈜미디어플렉스",쇼박스㈜미디어플렉스,15세이상관람가,코미디,3897969,28379548569
파이스토리 : 악당상어 소탕작전,2013-01-10,1295495000,189706,미국,,(주)에스비에스콘텐츠허브,전체관람가,애니메이션,267440,1808263000
