custid	gender	age	marriage	residence	job
26097	남	36	미혼	Dobong-gu	그룹사
26171	여	36	기혼	Seodaemun-gu	제조업
26248	여	36	기혼	Gwanak-gu	도소매업
26324	남	36	기혼	Jung-gu	그룹사
26402	여	36	기혼	Nowon-gu	개인사업
26477	여	36	미혼	Seocho-gu	예술
26547	남	36	기혼	Gangdong-gu	정보서비스
26620	남	36	기혼	Songpa-gu	제조업
26698	남	36	기혼	Geumcheon-gu	제조업
26774	여	36	기혼	Gangnam-gu	개인사업
26839	남	36	기혼	Gwangjin-gu	개인사업
26917	남	36	기혼	Mapo-gu	제조업
26994	남	37	기혼	Yongsan-gu	정보서비스
27074	여	37	미혼	Seocho-gu	언론기관
27150	여	37	미혼	Yangcheon-gu	의료기관
27222	여	37	기혼	Mapo-gu	개인사업
27293	남	37	미혼	Gangnam-gu	개인사업
27352	여	37	기혼	Songpa-gu	의료기관
27436	여	37	기혼	Gangnam-gu	제조업
27514	여	37	기혼	Gangnam-gu	개인사업
27586	여	37	미혼	Mapo-gu	개인사업
27654	여	37	미혼	Yongsan-gu	도소매업
27725	여	37	기혼	Gangnam-gu	의료기관
27803	여	37	미혼	Dongjak-gu	개인사업
27892	여	37	미혼	Gangdong-gu	전문직
27967	남	37	미혼	Seocho-gu	개인사업
28045	여	37	미혼	Gangnam-gu	운송서비스
28117	여	37	미혼	Gwanak-gu	교육기관
28196	여	37	미혼	Jongno-gu	개인사업
28264	남	38	기혼	Songpa-gu	건설업
28342	남	38	기혼	Songpa-gu	제조업
28413	여	38	기혼	Gangnam-gu	의료기관
28486	여	38	기혼	Gwangjin-gu	개인사업
28563	남	38	기혼	Mapo-gu	정보서비스
28638	여	38	기혼	Gwangjin-gu	개인사업
28715	여	38	기혼	Gangnam-gu	전문직
28788	남	38	기혼	Dongjak-gu	개인사업
28871	남	38	미혼	Gangnam-gu	정보서비스
28960	여	38	기혼	Seodaemun-gu	개인사업
29052	여	37	미혼	Seocho-gu	개인사업
29123	여	38	기혼	Seocho-gu	교육기관
29187	여	38	미혼	Mapo-gu	정보서비스
29262	여	39	기혼	Mapo-gu	개인사업
29334	남	39	기혼	Gangnam-gu	제조업
29403	여	39	기혼	Gwangjin-gu	제조업
29477	여	41	기혼	Gangdong-gu	교육기관
29557	여	39	기혼	Gangnam-gu	운송서비스
29640	여	39	기혼	Seodaemun-gu	제조업
29711	남	39	기혼	Yongsan-gu	교육기관
29773	여	39	기혼	Gangnam-gu	의료기관
29848	남	38	기혼	Gwangjin-gu	개인사업
29938	여	39	기혼	Yongsan-gu	공무원
