"","Accur","Param","Sub","Cnt"
"77",0.707960174113174,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, FALSE, TRUE",0
"78",0.707960174113174,"    main_store","TRUE, FALSE, TRUE",0
"79",0.706609296042428,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, FALSE, TRUE",10
"80",0.706609296042428,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, FALSE, TRUE",10
"81",0.706609296042428,"    main_store","TRUE, FALSE, TRUE",10
"82",0.710461800170111,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, FALSE, TRUE",20
"83",0.710461800170111,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, FALSE, TRUE",20
"84",0.710461800170111,"    main_store","TRUE, FALSE, TRUE",20
"85",0.706309100915595,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, FALSE, TRUE",30
"86",0.706309100915595,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, FALSE, TRUE",30
"87",0.706309100915595,"    main_store","TRUE, FALSE, TRUE",30
"88",0.706309100915595,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, FALSE, TRUE",40
"89",0.706309100915595,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, FALSE, TRUE",40
"90",0.706309100915595,"    main_store","TRUE, FALSE, TRUE",40
"91",0.700505328463501,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, TRUE, FALSE",0
"92",0.700505328463501,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, TRUE, FALSE",0
"93",0.700505328463501,"    main_store","TRUE, TRUE, FALSE",0
"94",0.702756791914745,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, TRUE, FALSE",10
"95",0.702756791914745,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, TRUE, FALSE",10
"96",0.702756791914745,"    main_store","TRUE, TRUE, FALSE",10
"97",0.699404612998449,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, TRUE, FALSE",20
"98",0.699404612998449,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, TRUE, FALSE",20
"99",0.699404612998449,"    main_store","TRUE, TRUE, FALSE",20
"100",0.699404612998449,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, TRUE, FALSE",30
"101",0.699404612998449,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, TRUE, FALSE",30
"102",0.699404612998449,"    main_store","TRUE, TRUE, FALSE",30
"103",0.699404612998449,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, TRUE, FALSE",40
