ID	MONEY	VISIT	CROSS	API
687	1066300	28	10	8
688	132200	7	3	50
689	843130	20	11	17
690	170920	9	4	30
691	179500	3	3	1
692	77110	3	2	47
693	53270	2	2	3
694	1427700	24	12	6
695	1105940	21	6	12
696	209760	7	4	40
697	97700	5	1	73
698	3923830	52	16	3
699	98400	3	2	76
700	78500	3	2	1
701	73400	4	1	100
702	348740	10	3	34
703	188300	4	2	54
704	246550	10	5	23
705	98880	3	3	17
706	165700	5	3	35
707	59140	3	2	74
708	921070	20	8	11
709	133300	6	2	10
710	140090	4	2	77
711	695080	20	6	14
712	1029650	32	9	8
713	730420	16	6	11
714	400870	9	6	19
715	870120	22	8	8
716	1619750	21	14	4
717	95600	3	1	4
718	409590	15	5	20
719	69910	4	2	84
720	101450	3	1	86
721	127540	6	2	25
722	86900	3	1	73
723	484210	15	7	7
724	557600	23	5	12
725	29200	3	1	239
726	191150	6	3	37
727	77500	6	2	92
728	131250	3	3	22
729	200390	5	2	25
730	72830	4	2	30
731	579560	29	8	8
732	265770	5	4	32
733	220020	13	2	17
734	785540	18	14	9
735	1186050	45	14	6
736	2801520	57	11	4
737	79000	4	3	80
738	294750	10	4	22
739	127100	6	3	31
740	498080	16	6	15
741	55450	3	1	10
742	348330	13	1	28
743	108000	3	1	43
744	712710	16	6	13
745	55000	5	1	99
746	753930	27	15	9
747	709840	16	10	8
748	3292690	86	22	2
749	222420	12	4	34
750	71110	3	1	69
751	3861080	70	21	1
752	25600	2	1	64
753	177470	11	4	5
754	1190940	25	6	9
755	96400	6	3	27
756	194200	10	2	39
757	140030	10	2	40
758	191990	4	1	95
759	194600	2	3	10
760	8887890	180	29	0
761	68300	2	2	27
762	78450	5	1	103
763	96860	3	2	1
764	1039250	15	7	10
765	468610	11	6	12
766	1623220	18	10	3
767	203980	7	1	27
768	506230	20	8	13
769	9096740	50	24	1
770	256400	5	2	34
771	219810	9	7	18
772	497710	18	9	11
773	321840	14	4	13
774	401240	7	4	13
775	139300	5	2	62
776	321295	11	5	21
777	119400	3	2	24
778	4128455	52	8	5
779	1398990	43	13	6
780	123610	4	2	68
781	186740	8	4	21
782	253450	10	3	25
783	2463050	53	10	2
784	1549310	45	19	8
785	997330	25	9	8
786	203600	14	5	25
787	53000	2	1	72
788	121940	5	3	36
789	409400	8	3	18
790	28050	3	2	148
791	232970	16	4	26
792	1272880	27	10	5
793	577680	13	6	7
794	187469	14	7	21
795	297510	10	3	25
796	1477230	57	17	5
