"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20161123","수","남","20대","서울특별시","중구","신당동","치킨","53"
"20161123","수","여","60대이상","서울특별시","중구","수표동","치킨","5"
"20161123","수","남","10대","서울특별시","중구","충무로4가","치킨","5"
"20161123","수","남","60대이상","서울특별시","중구","신당동","치킨","9"
"20161123","수","여","20대","서울특별시","중구","저동1가","치킨","5"
"20161123","수","남","50대","서울특별시","중구","신당동","치킨","18"
"20161123","수","남","30대","서울특별시","중구","장충동2가","치킨","5"
"20161123","수","여","10대","서울특별시","중구","신당동","치킨","8"
"20161123","수","여","20대","서울특별시","중구","충무로4가","치킨","5"
"20161123","수","남","30대","서울특별시","중구","수하동","치킨","20"
"20161123","수","여","50대","서울특별시","중구","충무로4가","치킨","5"
"20161123","수","여","40대","서울특별시","중구","수하동","치킨","8"
"20161123","수","여","60대이상","서울특별시","중구","충무로4가","치킨","5"
"20161123","수","여","20대","서울특별시","중구","주교동","치킨","5"
"20161123","수","남","50대","서울특별시","중구","수하동","치킨","5"
"20161123","수","여","20대","서울특별시","중구","을지로3가","치킨","5"
"20161123","수","남","30대","서울특별시","중구","남대문로2가","치킨","5"
"20161123","수","남","20대","서울특별시","중구","수하동","치킨","12"
"20161123","수","여","30대","서울특별시","중구","충무로4가","치킨","5"
"20161123","수","여","50대","서울특별시","중구","명동2가","치킨","5"
"20161123","수","남","20대","서울특별시","중구","장충동2가","치킨","5"
"20161123","수","여","40대","서울특별시","중구","신당동","치킨","68"
"20161123","수","여","40대","서울특별시","중구","입정동","치킨","5"
"20161123","수","남","40대","서울특별시","중구","저동1가","치킨","5"
"20161123","수","여","10대","서울특별시","중구","수하동","치킨","5"
"20161123","수","남","30대","서울특별시","중구","신당동","치킨","66"
"20161123","수","남","30대","서울특별시","중구","저동1가","치킨","5"
"20161123","수","남","40대","서울특별시","중구","신당동","치킨","32"
"20161123","수","여","40대","서울특별시","중구","흥인동","치킨","5"
"20161123","수","여","30대","서울특별시","중구","신당동","치킨","75"
"20161123","수","여","60대이상","서울특별시","중구","수하동","치킨","5"
"20161123","수","여","50대","서울특별시","중구","수하동","치킨","5"
"20161123","수","남","50대","서울특별시","중구","을지로3가","치킨","5"
"20161123","수","남","30대","서울특별시","중구","충무로4가","치킨","5"
"20161123","수","여","20대","서울특별시","중구","수하동","치킨","10"
"20161123","수","남","20대","서울특별시","중구","필동2가","치킨","5"
"20161123","수","여","20대","서울특별시","중랑구","신내동","치킨","5"
"20161123","수","여","50대","서울특별시","중랑구","면목동","치킨","20"
"20161123","수","남","60대이상","서울특별시","중랑구","망우동","치킨","5"
"20161123","수","여","60대이상","서울특별시","중랑구","면목동","치킨","6"
"20161123","수","남","50대","서울특별시","중랑구","망우동","치킨","5"
"20161123","수","남","20대","서울특별시","중랑구","망우동","치킨","5"
"20161123","수","남","10대","서울특별시","중랑구","묵동","치킨","5"
"20161123","수","여","60대이상","서울특별시","중랑구","신내동","치킨","5"
"20161123","수","여","20대","서울특별시","중랑구","면목동","치킨","28"
"20161123","수","여","50대","서울특별시","중랑구","신내동","치킨","5"
"20161123","수","남","30대","서울특별시","중랑구","중화동","치킨","5"
"20161123","수","여","60대이상","서울특별시","중랑구","묵동","치킨","5"
"20161123","수","여","50대","서울특별시","중랑구","상봉동","치킨","5"
"20161123","수","여","50대","서울특별시","중랑구","묵동","치킨","5"
"20161123","수","여","40대","서울특별시","중랑구","중화동","치킨","5"
"20161123","수","여","20대","서울특별시","중랑구","묵동","치킨","5"
"20161123","수","남","10대","서울특별시","중랑구","면목동","치킨","7"
"20161123","수","여","10대","서울특별시","중랑구","신내동","치킨","5"
"20161123","수","여","30대","서울특별시","중랑구","중화동","치킨","6"
"20161123","수","남","50대","서울특별시","중랑구","묵동","치킨","5"
"20161123","수","남","10대","서울특별시","중랑구","망우동","치킨","5"
"20161123","수","남","40대","서울특별시","중랑구","중화동","치킨","5"
"20161123","수","남","20대","서울특별시","중랑구","묵동","치킨","7"
"20161123","수","여","10대","서울특별시","중랑구","면목동","치킨","13"
"20161123","수","남","20대","서울특별시","중랑구","신내동","치킨","5"
"20161123","수","남","50대","서울특별시","중랑구","면목동","치킨","5"
"20161123","수","남","60대이상","서울특별시","중랑구","면목동","치킨","8"
"20161123","수","남","60대이상","서울특별시","중랑구","신내동","치킨","5"
"20161123","수","여","20대","서울특별시","중랑구","망우동","치킨","5"
"20161123","수","여","10대","서울특별시","중랑구","묵동","치킨","5"
"20161123","수","남","20대","서울특별시","중랑구","면목동","치킨","31"
"20161123","수","남","50대","서울특별시","중랑구","신내동","치킨","5"
"20161123","수","남","30대","서울특별시","중랑구","면목동","치킨","34"
"20161123","수","여","30대","서울특별시","중랑구","망우동","치킨","5"
"20161123","수","여","40대","서울특별시","중랑구","신내동","치킨","12"
"20161123","수","여","40대","서울특별시","중랑구","면목동","치킨","50"
"20161123","수","남","30대","서울특별시","중랑구","신내동","치킨","5"
"20161123","수","남","40대","서울특별시","중랑구","망우동","치킨","5"
"20161123","수","남","10대","서울특별시","중랑구","중화동","치킨","5"
"20161123","수","남","30대","서울특별시","중랑구","묵동","치킨","5"
"20161123","수","여","20대","서울특별시","중랑구","중화동","치킨","5"
"20161123","수","여","40대","서울특별시","중랑구","묵동","치킨","10"
"20161123","수","여","30대","서울특별시","중랑구","묵동","치킨","8"
