"기준일","요일","성별","연령대","시도","시군구","업종","통화건수"
"20160301","화","여","10대","서울특별시","동작구","치킨","25"
"20160301","화","여","60대이상","서울특별시","동작구","치킨","14"
"20160301","화","여","20대","서울특별시","동작구","치킨","95"
"20160301","화","남","60대이상","서울특별시","마포구","치킨","13"
"20160301","화","남","10대","서울특별시","마포구","치킨","15"
"20160301","화","여","40대","서울특별시","마포구","치킨","129"
"20160301","화","여","30대","서울특별시","마포구","치킨","129"
"20160301","화","여","60대이상","서울특별시","마포구","치킨","16"
"20160301","화","남","30대","서울특별시","마포구","치킨","135"
"20160301","화","여","10대","서울특별시","마포구","치킨","13"
"20160301","화","남","50대","서울특별시","마포구","치킨","30"
"20160301","화","여","50대","서울특별시","마포구","치킨","41"
"20160301","화","여","20대","서울특별시","마포구","치킨","89"
"20160301","화","남","20대","서울특별시","마포구","치킨","84"
"20160301","화","남","40대","서울특별시","마포구","치킨","74"
"20160301","화","여","10대","서울특별시","서대문구","치킨","9"
"20160301","화","여","60대이상","서울특별시","서대문구","치킨","16"
"20160301","화","여","40대","서울특별시","서대문구","치킨","88"
"20160301","화","여","30대","서울특별시","서대문구","치킨","97"
"20160301","화","남","10대","서울특별시","서대문구","치킨","15"
"20160301","화","남","30대","서울특별시","서대문구","치킨","103"
"20160301","화","남","60대이상","서울특별시","서대문구","치킨","6"
"20160301","화","남","50대","서울특별시","서대문구","치킨","22"
"20160301","화","여","50대","서울특별시","서대문구","치킨","32"
"20160301","화","여","20대","서울특별시","서대문구","치킨","74"
"20160301","화","남","20대","서울특별시","서대문구","치킨","112"
"20160301","화","남","40대","서울특별시","서대문구","치킨","42"
"20160301","화","남","10대","서울특별시","서초구","치킨","35"
"20160301","화","남","60대이상","서울특별시","서초구","치킨","18"
"20160301","화","여","30대","서울특별시","서초구","치킨","157"
"20160301","화","여","40대","서울특별시","서초구","치킨","143"
"20160301","화","여","10대","서울특별시","서초구","치킨","17"
"20160301","화","남","40대","서울특별시","서초구","치킨","105"
"20160301","화","여","60대이상","서울특별시","서초구","치킨","16"
"20160301","화","여","20대","서울특별시","서초구","치킨","99"
"20160301","화","남","20대","서울특별시","서초구","치킨","119"
"20160301","화","남","50대","서울특별시","서초구","치킨","59"
